"Tema","Entidad","Indicador","link.de.consulta","2016","2018","2020","2021","2022","2023","2024","2025"
"Económico","Michoacán de Ocampo","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,44355.033118725,NA,45650.8558689632,NA
"Económico","Morelos","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,63255.1097743224,NA,66194.7129545029,NA
"Económico","Morelos","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,42004.5273601724,NA,42253.2941213444,NA
"Económico","Nayarit","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,72192.2159455318,NA,74601.1312547148,NA
"Económico","Nayarit","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,42946.3744557953,NA,44716.8061585399,NA
"Económico","Nuevo León","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,95059.6116786873,NA,117033.881116807,NA
"Económico","Nuevo León","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,53482.6275449025,NA,59192.2417320831,NA
"Económico","Oaxaca","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,47898.8156214976,NA,52024.8931632056,NA
"Económico","Oaxaca","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,29393.1272044633,NA,34107.3497327632,NA
"Económico","Puebla","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,54574.4211745512,NA,62161.6394297658,NA
"Económico","Puebla","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,37604.0453460908,NA,41720.1697192334,NA
"Económico","Querétaro","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,82834.3472352542,NA,97614.6432849339,NA
"Económico","Querétaro","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,53849.5981176177,NA,61592.7683698971,NA
"Económico","Quintana Roo","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,79460.0280462978,NA,88754.4153171272,NA
"Económico","Quintana Roo","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,50995.4516278297,NA,53666.9784587952,NA
"Económico","San Luis Potosí","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,66466.2194503516,NA,73204.9674211823,NA
"Económico","San Luis Potosí","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,42624.5837273752,NA,47044.7975417591,NA
"Económico","Sinaloa","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,79444.6000930412,NA,82837.0390308593,NA
"Económico","Sinaloa","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,47421.5950094275,NA,48557.018631594,NA
"Económico","Sonora","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,83182.3565312065,NA,94721.4940240843,NA
"Económico","Sonora","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,46876.870685733,NA,51335.505519254,NA
"Económico","Tabasco","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,57571.3075770152,NA,65000.5569398917,NA
"Económico","Tabasco","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,35391.7434324129,NA,39507.6590293957,NA
"Económico","Tamaulipas","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,70197.5952601157,NA,77302.2871528748,NA
"Económico","Tamaulipas","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,43654.746912963,NA,44844.2833395268,NA
"Económico","Tlaxcala","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,51160.9419447669,NA,58833.8954117987,NA
"Económico","Tlaxcala","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,36416.9806475408,NA,40047.9230034263,NA
"Económico","Veracruz de Ignacio de la Llave","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,49329.0278962025,NA,53030.4179857877,NA
"Económico","Veracruz de Ignacio de la Llave","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,32386.5432496857,NA,34461.3780322785,NA
"Económico","Yucatán","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,68927.2417876402,NA,79972.1084247346,NA
"Económico","Yucatán","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,42079.4307811748,NA,51255.0876705121,NA
"Económico","Zacatecas","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,55405.3853505096,NA,60291.9710762925,NA
"Económico","Zacatecas","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,38527.205199604,NA,39860.253319948,NA
"Gobierno","Aguascalientes","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,53.6707510015603,NA,55.4503913609092,NA,54.15788805686
"Gobierno","Baja California","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,49.2681854049081,NA,52.2776871485192,NA,48.1567986363026
"Gobierno","Baja California Sur","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,49.3819112658909,NA,55.552570592026,NA,40.8225422838065
"Gobierno","Campeche","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,47.948124245972,NA,51.7866752491191,NA,54.0802255756318
"Gobierno","Coahuila de Zaragoza","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,59.6390760956969,NA,56.6948896462817,NA,58.3327372010397
"Gobierno","Colima","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,54.0744469995399,NA,58.1686821755038,NA,56.8033436426903
"Gobierno","Chiapas","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,45.2509926348838,NA,42.9597075558277,NA,45.4421717960796
"Gobierno","Chihuahua","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,50.9118909638494,NA,52.3329147310357,NA,50.0930114008873
"Gobierno","Ciudad de México","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,47.0706873203442,NA,52.7100611200941,NA,48.9484338795749
"Gobierno","Durango","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,54.8987893963728,NA,51.1359663110008,NA,52.9740637591438
"Gobierno","Guanajuato","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,59.3589726645878,NA,60.2374459735226,NA,55.7704326347466
"Gobierno","Guerrero","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,32.7328190469687,NA,42.3585468930202,NA,36.5362014090502
"Gobierno","Hidalgo","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,47.4448612153038,NA,46.775615050498,NA,41.3878278668004
"Gobierno","Jalisco","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,48.3484589932397,NA,51.5837083880012,NA,47.931077894846
"Gobierno","México","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,40.5993362899776,NA,43.2205611345484,NA,40.2321537998257
"Gobierno","Michoacán de Ocampo","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,46.6516855960711,NA,47.9462240275889,NA,47.5183630005483
"Gobierno","Morelos","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,44.4858612036849,NA,49.1569444178424,NA,45.4059859921499
"Gobierno","Nayarit","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,57.2402011197696,NA,61.5948440889948,NA,56.6309855603879
"Gobierno","Nuevo León","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,61.0398071977744,NA,52.859957233283,NA,56.0612236524666
"Gobierno","Oaxaca","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,38.534117859886,NA,42.7928762934104,NA,42.201773289894
"Gobierno","Puebla","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,43.7269288915142,NA,46.1772423530055,NA,40.0837772483558
"Gobierno","Querétaro","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,56.5697481280102,NA,51.3957176285636,NA,51.9150499222956
