"Tema","Entidad","Indicador","link.de.consulta","2024_1t","2024_2t","2024_3t","2024_4t","2025_1t","2025_2t","2025_3t","2025_4t"
"Económico","Baja California","Población Económicamente Activa PEA","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,1800869,1790619,1794027,1798763
"Económico","Baja California","Población Ocupada","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,1761894,1749184,1745730,1749729
"Económico","Baja California","Población Desocupada","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,38975,41435,48297,49034
"Económico","Baja California","Tasa de Participación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,60,59.4,59.4,59.6
"Económico","Baja California","Tasa de Desocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,2.2,2.3,2.7,2.7
"Económico","Baja California","Tasa de Ocupación parcial y desocupación/","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,5.6,6,6.1,6.3
"Económico","Baja California","Tasa de Presión general","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,3.6,3.8,4,4
"Económico","Baja California","Tasa de Trabajo asalariado","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,74.2,73.8,73.5,73.8
"Económico","Baja California","Tasa de Subocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,2.2,2.4,2.2,2.2
"Económico","Baja California","Tasa de Condiciones críticas de ocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,31.4,31,30.7,34.2
"Económico","Baja California","Tasa de Informalidad laboral","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,37.2,38.4,38.7,37.6
"Económico","Baja California","Tasa de Ocupación en el sector informal","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,18.6,19,20.5,19.9
"Económico","Baja California Sur","Población Económicamente Activa PEA","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,463281,456933,471049,484926
"Económico","Baja California Sur","Población Ocupada","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,450178,446160,458459,473673
"Económico","Baja California Sur","Población Desocupada","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,13103,10773,12590,11253
"Económico","Baja California Sur","Tasa de Participación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,68,66.7,67.5,67.2
"Económico","Baja California Sur","Tasa de Desocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,2.8,2.4,2.7,2.3
"Económico","Baja California Sur","Tasa de Ocupación parcial y desocupación/","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,10,8.9,9.1,9.6
"Económico","Baja California Sur","Tasa de Presión general","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,6.9,6.9,6,6.7
"Económico","Baja California Sur","Tasa de Trabajo asalariado","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,75.3,76.1,74.8,76.5
"Económico","Baja California Sur","Tasa de Subocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,7.2,6.8,6.1,8
"Económico","Baja California Sur","Tasa de Condiciones críticas de ocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,20.6,18.4,19,18.6
"Económico","Baja California Sur","Tasa de Informalidad laboral","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,37.5,37.4,39.1,38.6
"Económico","Baja California Sur","Tasa de Ocupación en el sector informal","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,18.7,19.2,20.3,20
"Económico","Campeche","Población Económicamente Activa PEA","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,449083,434788,435392,435987
"Económico","Campeche","Población Ocupada","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,439803,423431,422752,423300
"Económico","Campeche","Población Desocupada","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,9280,11357,12640,12687
"Económico","Campeche","Tasa de Participación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,61.6,60.3,60.4,61.2
"Económico","Campeche","Tasa de Desocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,2.1,2.6,2.9,2.9
"Económico","Campeche","Tasa de Ocupación parcial y desocupación/","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,11.5,11.4,11.8,12.6
"Económico","Campeche","Tasa de Presión general","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,6.4,8.1,8,8.3
"Económico","Campeche","Tasa de Trabajo asalariado","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,61.1,62.8,61.6,59.8
"Económico","Campeche","Tasa de Subocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,10.2,12,13.1,12.4
"Económico","Campeche","Tasa de Condiciones críticas de ocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,39.5,38.8,38,39.3
"Económico","Campeche","Tasa de Informalidad laboral","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,60.3,59.8,59.6,61.1
"Económico","Campeche","Tasa de Ocupación en el sector informal","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,28.3,27.2,27.6,28.8
"Económico","Coahuila de Zaragoza","Población Económicamente Activa PEA","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,1572146,1622542,1577159,1651928
"Económico","Coahuila de Zaragoza","Población Ocupada","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,1516383,1561461,1514920,1600412
"Económico","Coahuila de Zaragoza","Población Desocupada","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,55763,61081,62239,51516
"Económico","Coahuila de Zaragoza","Tasa de Participación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,59.4,60.9,59.1,59.7
"Económico","Coahuila de Zaragoza","Tasa de Desocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,3.5,3.8,3.9,3.1
"Económico","Coahuila de Zaragoza","Tasa de Ocupación parcial y desocupación/","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,9.4,8.7,8.5,8.6
"Económico","Coahuila de Zaragoza","Tasa de Presión general","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,6.3,7.4,6.5,6.6
"Económico","Coahuila de Zaragoza","Tasa de Trabajo asalariado","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,77.9,78.1,77.5,78.5
"Económico","Coahuila de Zaragoza","Tasa de Subocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,3.7,4.4,4.1,5.2
"Económico","Coahuila de Zaragoza","Tasa de Condiciones críticas de ocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,28.7,29.9,28.6,32.5
"Económico","Coahuila de Zaragoza","Tasa de Informalidad laboral","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,33.1,34.2,33.3,33.3
"Económico","Coahuila de Zaragoza","Tasa de Ocupación en el sector informal","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,20.5,21,21.2,20.4
"Económico","Colima","Población Económicamente Activa PEA","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,372980,373142,389243,398542
