"Tema","Indicador","Temporalidad","En_razon","Sentido","Descripción","Fuente","Unidad_medida"
"Género","Delitos sexuales #Con Lupa de Género","Anual","Si_1000","Menos es mejor","Carpetas de investigación de delitos de acoso y hostigamiento sexual por cada 100 mil habitantes","Instituto Mexicano para la Competitividad A.C. IMCO. Estados #ConLupaDeGénero","Delito"
"Género","Dependencia de ingresos","Anual","No","Menos es mejor","Mujeres de 15 años y más que no percibe ingresos monetarios directos","Instituto Mexicano para la Competitividad A.C. IMCO. Estados #ConLupaDeGénero","Porcentaje"
"Género","Desigualdad en trabajo no remunerado (TNR) #Con Lupa de Género","Anual","No","Menos es mejor","Horas semanales adicionales que dedica una mujer al TNR en comparación con un hombre","Instituto Mexicano para la Competitividad A.C. IMCO. Estados #ConLupaDeGénero","Tiempo"
"Género","Embarazo Adolescente #Con Lupa de Género (Porcentaje)","Anual","No","Menos es mejor","Nacimientos registrados de madres menores de 20 años","Instituto Mexicano para la Competitividad A.C. IMCO. Estados #ConLupaDeGénero","Porcentaje"
"Género","Emprendedoras formales","Anual","No","Más es mejor","Emprendedoras en la formalidad","Instituto Mexicano para la Competitividad A.C. IMCO. Estados #ConLupaDeGénero","Porcentaje"
"Género","Homicidios dolosos de mujeres y feminicidios #Con Lupa de Género","Anual","Si_1000","Menos es mejor","Mujeres víctimas de homicidios dolosos y feminicidios por cada 100 mil mujeres","Instituto Mexicano para la Competitividad A.C. IMCO. Estados #ConLupaDeGénero","Homicidios"
"Género","Igualdad laboral y no discriminación #Con Lupa de Género (Porcentaje)","Anual","No","Más es mejor","se refiere a iniciativas y herramientas que analizan y miden las condiciones laborales desde una perspectiva de género para identificar y corregir desigualdades específicas que afectan a mujeres y hombres.","Instituto Mexicano para la Competitividad A.C. IMCO. Estados #ConLupaDeGénero","Porcentaje"
"Género","Inclución financiera","Anual","No","Más es mejor","Valor absoluto de la diferencia entre la media ponderada de los montos otorgados a hombres y mujeres para créditos empresariales y de vivienda entre el promedio de los montos otorgados a hombres","Instituto Mexicano para la Competitividad A.C. IMCO. Estados #ConLupaDeGénero","Porcentaje"
"Género","Informalidad #Con Lupa de Género (Porcentaje)","Anual","No","Menos es mejor","Mujeres ocupadas no agropecuarias en la informalidad","Instituto Mexicano para la Competitividad A.C. IMCO. Estados #ConLupaDeGénero","Porcentaje"
"Género","Jornada laboral larga #Con Lupa de Género (Porcentaje)","Anual","No","Menos es mejor","Mujeres a menudo enfrentan una ""doble jornada"", combinando su trabajo remunerado con el trabajo doméstico y de cuidados no remunerado, que suele ser significativamente mayor que el de los hombres","Instituto Mexicano para la Competitividad A.C. IMCO. Estados #ConLupaDeGénero","Porcentaje"
