"Tema","Entidad","Indicador","link.de.consulta","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Económico","Sinaloa","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,9537,74288,42134,NA
"Económico","Tabasco","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,93196,933473,711132,NA
"Económico","Tamaulipas","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,2044057,2027679,1547596,NA
"Económico","Tlaxcala","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,112239,1124902,874293,NA
"Económico","Veracruz de Ignacio de la Llave","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,14963554,1508711,12087701,NA
"Económico","Yucatán","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,1139936,11283315,11462748,NA
"Económico","Zacatecas","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,7080062,2500987,1592811,NA
"Económico","Baja California","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,6756,6807,6878,NA
"Económico","Baja California Sur","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,6591,6484,6501,NA
"Económico","Campeche","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,130768,71505,66998,NA
"Económico","Coahuila de Zaragoza","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,7354,6738,5438,NA
