"Tema","Indicador","Temporalidad"
"Todo","Social: Porcentaje de Abandono Escolar: Media Superior","Anual"
"Todo","Social: Porcentaje de Abandono Escolar: Primaria","Anual"
"Todo","Social: Porcentaje de Abandono Escolar: Superior","Anual"
"Todo","Económico: Porcentaje de la población con ingreso laboral inferior al costo de la canasta alimentaria (pobreza laboral)","Anual"
"Todo","Social: Porcentaje de la Población en situación de Pobreza","Anual"
"Todo","Social: Porcentaje de la Población en situación de Pobreza Extrema","Anual"
"Todo","Social: Porcentaje de la Población en situación de Pobreza Moderada","Anual"
"Todo","Social: Porcentaje de la población vulnerable por ingresos","Anual"
"Todo","Económico: Porcentaje de Ocupación en la Entidad con respecto al Porcentaje de Ocupación Nacional","Anual"
"Todo","Económico: Producción Bruta Total","Anual"
"Todo","Económico: Producción Pesquera (Peso vivo toneladas)","Anual"
"Todo","Económico: Producción Pesquera Valor de la Producción (Peso vivo miles de pesos)","Anual"
"Todo","Económico: Productividad (pesos prod/hora trab)","Anual"
"Todo","Económico: Producto Interno Bruto (millones de pesos) / Porcentaje de Participación (VALORES CONSTANTES)","Anual"
"Todo","Social: Rezago Educativo","Anual"
"Todo","Económico: Superficie Cosechada (has)","Anual"
"Todo","Económico: Superficie Sembrada (has)","Anual"
"Todo","Económico: Tasa de Condiciones Críticas de Ocupación","Anual"
"Todo","Económico: Tasa de Desocupación","Anual"
"Todo","Gobierno: Tasa de incidencia de la corrupción","Anual"
"Todo","Económico: Tasa de Informalidad Laboral","Anual"
"Todo","Económico: Tasa de Ocupación en el Sector Informal","Anual"
"Todo","Social: Tasa de Ocupación no Permitida porcentaje respecto a la población de 5 a 17 años)","Anual"
"Todo","Económico: Tasa de Ocupación Parcial y Desocupación","Anual"
"Todo","Económico: Tasa de Participación","Anual"
"Todo","Económico: Tasa de Presión General","Anual"
"Todo","Gobierno: Tasa de prevalencia de la corrupción","Anual"
"Todo","Social: Tasa de Quehaceres Domésticos en Condiciones no Adecuadas (porcentaje respecto a la población de 5 a 17 años)","Anual"
"Todo","Económico: Tasa de Subocupación","Anual"
"Todo","Económico: Tasa de Trabajo Asalariado","Anual"
"Todo","Social: Tasa de Trabajo Infantil (porcentaje respecto a la población de 5 a 17 años)","Anual"
"Todo","Económico: Trabajadores Asegurados Permanentes por el IMSS","Anual"
"Todo","Económico: Unidades Económicas","Anual"
"Todo","Económico: Valor de la Producción","Anual"
"Todo","Económico: Volumen de la Producción (toneladas)","Anual"
"Todo","Medio Ambiente: Volumen tratado en las PTARs  (Millones m3)","Anual"
