"Tema","Entidad","Indicador","link.de.consulta","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Económico","Puebla","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,4597.745,4380.257,3142.259,NA
"Económico","Querétaro","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,145.389,108.402,70.79,NA
"Económico","Quintana Roo","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,8552.321,6741.971,5415.444,NA
"Económico","San Luis Potosí","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,3282.112,2744.412,2078.101,NA
"Económico","Sinaloa","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,95.37,74.288,42.134,NA
"Económico","Sonora","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,NA,NA,0,NA
"Económico","Tabasco","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,931.96,933.473,711.132,NA
"Económico","Tamaulipas","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,2044.057,2027.679,1547.596,NA
"Económico","Tlaxcala","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,1122.39,1124.902,874.293,NA
"Económico","Veracruz de Ignacio de la Llave","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,14963.554,15087.11,12087.701,NA
"Económico","Yucatán","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,11399.36,11283.315,11462.748,NA
"Económico","Zacatecas","Cera. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,7080.062,2500.987,1592.811,NA
"Económico","Aguascalientes","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,NA,NA,0,NA
